op,n,dtype,group,blas,inner,median_s,gflops,min_s,max_s,status
dot,10000,float32,l1,dot,9363,8.45284311e-07,23.660678,8.39245007e-07,8.66924063e-07,ok
vdot,10000,float32,l1,dotc,7536,9.14138933e-07,21.878512,8.98405918e-07,9.23350982e-07,ok
inner,10000,float32,l1,dot,9771,9.59851141e-07,20.836564,9.42477331e-07,9.86884659e-07,ok
norm2,10000,float32,l1,nrm2,1714,1.21325175e-06,16.484625,1.19894049e-06,1.24404084e-06,ok
vecdot,10000,float32,l1,dot,2075,1.14212602e-06,17.511202,1.13862072e-06,1.17812048e-06,ok
vector_norm,10000,float32,l1,nrm2,1328,4.62807229e-06,4.321454,4.56517244e-06,4.68351506e-06,ok
dot,100000,float32,l1,dot,1908,7.61265776e-06,26.272034,7.53149319e-06,7.69378721e-06,ok
vdot,100000,float32,l1,dotc,2591,6.52690390e-06,30.642400,6.48323968e-06,9.20494635e-06,ok
inner,100000,float32,l1,dot,1597,7.34593770e-06,27.225932,7.29488604e-06,7.48191108e-06,ok
norm2,100000,float32,l1,nrm2,1595,6.15535737e-06,32.492021,6.09860376e-06,6.23622069e-06,ok
vecdot,100000,float32,l1,dot,1453,6.95000998e-06,28.776937,6.92780798e-06,7.05756848e-06,ok
vector_norm,100000,float32,l1,nrm2,829,2.54731568e-05,7.851402,2.52184511e-05,2.61110458e-05,ok
dot,1000000,float32,l1,dot,181,1.24650055e-04,16.044919,1.14877260e-04,1.91866713e-04,ok
vdot,1000000,float32,l1,dotc,277,1.23178644e-04,16.236581,1.19186394e-04,1.29680159e-04,ok
inner,1000000,float32,l1,dot,193,1.17307904e-04,17.049150,1.09849808e-04,1.93709674e-04,ok
norm2,1000000,float32,l1,nrm2,364,7.71050151e-05,25.938650,7.46689560e-05,8.01920082e-05,ok
vecdot,1000000,float32,l1,dot,247,1.40983889e-04,14.186018,1.19721607e-04,2.33584891e-04,ok
vector_norm,1000000,float32,l1,nrm2,123,2.76289215e-04,7.238791,2.72360146e-04,2.80115480e-04,ok
dot,10000,float64,l1,dot,2589,1.61176400e-06,12.408765,1.60426613e-06,1.62644380e-06,ok
vdot,10000,float64,l1,dotc,10030,1.66382856e-06,12.020469,1.62480399e-06,1.66903928e-06,ok
inner,10000,float64,l1,dot,9090,1.68203086e-06,11.890388,1.67237470e-06,2.77127382e-06,ok
norm2,10000,float64,l1,nrm2,2000,1.89087450e-06,10.577117,1.88436700e-06,1.90248350e-06,ok
vecdot,10000,float64,l1,dot,3762,1.85541201e-06,10.779277,1.83445401e-06,1.88600904e-06,ok
vector_norm,10000,float64,l1,nrm2,1148,4.67232753e-06,4.280522,4.66090244e-06,4.78589024e-06,ok
dot,100000,float64,l1,dot,1033,2.09715310e-05,9.536738,1.98114327e-05,2.36470600e-05,ok
vdot,100000,float64,l1,dotc,1908,2.10850024e-05,9.485415,1.94498197e-05,2.49956331e-05,ok
inner,100000,float64,l1,dot,1826,2.10638568e-05,9.494937,2.01474195e-05,2.22507218e-05,ok
norm2,100000,float64,l1,nrm2,2024,9.08610351e-06,22.011636,9.03486018e-06,1.40436260e-05,ok
vecdot,100000,float64,l1,dot,1171,2.18386268e-05,9.158085,2.06519394e-05,2.34877276e-05,ok
vector_norm,100000,float64,l1,nrm2,646,5.23378793e-05,3.821324,5.09892307e-05,7.99788901e-05,ok
dot,1000000,float64,l1,dot,105,2.66948143e-04,7.492092,2.43152086e-04,2.90510048e-04,ok
vdot,1000000,float64,l1,dotc,145,2.79513872e-04,7.155280,2.62426407e-04,3.25776007e-04,ok
