op,n,dtype,group,blas,inner,median_s,gflops,min_s,max_s,status
dot,10000,float32,l1,dot,500,6.10000000e-06,3.278689,6.00000000e-06,6.40000000e-06,ok
vdot,10000,float32,l1,dotc,250,6.00000000e-06,3.333333,5.60000000e-06,6.40000000e-06,ok
inner,10000,float32,l1,dot,500,6.20000000e-06,3.225806,6.00000000e-06,6.40000000e-06,ok
norm2,10000,float32,l1,nrm2,250,7.40000000e-06,2.702703,6.80000000e-06,8.40000000e-06,ok
vecdot,10000,float32,l1,dot,50,7.00000000e-06,2.857143,4.00000000e-06,8.00000000e-06,ok
vector_norm,10000,float32,l1,nrm2,55,1.27272727e-05,1.571429,1.09090909e-05,1.27272727e-05,ok
dot,100000,float32,l1,dot,20000,4.78475000e-05,4.179947,4.76000000e-05,4.84850000e-05,ok
vdot,100000,float32,l1,dotc,500,4.78000000e-05,4.184100,4.74000000e-05,4.88000000e-05,ok
inner,100000,float32,l1,dot,500,4.82000000e-05,4.149378,4.76000000e-05,4.98000000e-05,ok
norm2,100000,float32,l1,nrm2,499,4.90981964e-05,4.073469,4.86973948e-05,4.98997996e-05,ok
vecdot,100000,float32,l1,dot,500,5.02000000e-05,3.984064,4.84000000e-05,5.18000000e-05,ok
vector_norm,100000,float32,l1,nrm2,500,7.56000000e-05,2.645503,7.38000000e-05,7.96000000e-05,ok
dot,1000000,float32,l1,dot,99,4.77272727e-04,4.190476,4.68686869e-04,4.97979798e-04,ok
vdot,1000000,float32,l1,dotc,99,4.76262626e-04,4.199364,4.69696970e-04,5.02020202e-04,ok
inner,1000000,float32,l1,dot,83,4.72891566e-04,4.229299,4.69879518e-04,4.81927711e-04,ok
norm2,1000000,float32,l1,nrm2,99,4.74242424e-04,4.217252,4.70707071e-04,4.82828283e-04,ok
vecdot,1000000,float32,l1,dot,83,4.82530120e-04,4.144819,4.73493976e-04,4.92771084e-04,ok
vector_norm,1000000,float32,l1,nrm2,71,7.09154930e-04,2.820258,6.98591549e-04,7.12676056e-04,ok
dot,10000,float64,l1,dot,249,5.62248996e-06,3.557143,5.22088353e-06,6.02409639e-06,ok
vdot,10000,float64,l1,dotc,20000,5.71000000e-06,3.502627,5.68000000e-06,5.77500000e-06,ok
inner,10000,float64,l1,dot,20000,5.88750000e-06,3.397028,5.87000000e-06,6.18500000e-06,ok
norm2,10000,float64,l1,nrm2,500,7.10000000e-06,2.816901,7.00000000e-06,7.40000000e-06,ok
vecdot,10000,float64,l1,dot,20000,6.32250000e-06,3.163306,6.21500000e-06,6.55000000e-06,ok
vector_norm,10000,float64,l1,nrm2,500,1.08000000e-05,1.851852,1.06000000e-05,1.10000000e-05,ok
dot,100000,float64,l1,dot,500,5.01000000e-05,3.992016,4.98000000e-05,5.20000000e-05,ok
vdot,100000,float64,l1,dotc,500,4.93000000e-05,4.056795,4.88000000e-05,4.98000000e-05,ok
inner,100000,float64,l1,dot,500,5.02000000e-05,3.984064,4.98000000e-05,5.14000000e-05,ok
norm2,100000,float64,l1,nrm2,20000,4.93450000e-05,4.053096,4.92200000e-05,5.06300000e-05,ok
vecdot,100000,float64,l1,dot,500,5.15000000e-05,3.883495,5.08000000e-05,5.30000000e-05,ok
vector_norm,100000,float64,l1,nrm2,499,7.75551102e-05,2.578811,7.71543086e-05,7.85571142e-05,ok
dot,1000000,float64,l1,dot,71,5.00000000e-04,4.000000,4.91549296e-04,5.14084507e-04,ok
vdot,1000000,float64,l1,dotc,83,5.04819277e-04,3.961814,4.91566265e-04,5.89156627e-04,ok
inner,1000000,float64,l1,dot,71,5.04929577e-04,3.960948,4.95774648e-04,5.19718310e-04,ok
norm2,1000000,float64,l1,nrm2,71,4.83802817e-04,4.133916,4.77464789e-04,4.90140845e-04,ok
vecdot,1000000,float64,l1,dot,71,5.08450704e-04,3.933518,5.00000000e-04,5.21126761e-04,ok
vector_norm,1000000,float64,l1,nrm2,45,7.91111111e-04,2.528090,7.62222222e-04,8.06666667e-04,ok
gemv_n,64,float32,l2,gemv,20000,2.81500000e-06,2.910124,2.79000000e-06,2.82500000e-06,ok
gemv_t,64,float32,l2,gemv,20000,2.79000000e-06,2.936201,2.72500000e-06,2.84000000e-06,ok
gemv_n,128,float32,l2,gemv,20000,8.10000000e-06,4.045432,8.01500000e-06,8.13500000e-06,ok
gemv_t,128,float32,l2,gemv,20000,1.05125000e-05,3.117051,1.04750000e-05,1.06050000e-05,ok
gemv_n,256,float32,l2,gemv,20000,3.07875000e-05,4.257312,3.05550000e-05,3.09450000e-05,ok
gemv_t,256,float32,l2,gemv,499,4.00801603e-05,3.270246,3.92785571e-05,4.20841683e-05,ok
gemv_n,512,float32,l2,gemv,249,1.27108434e-04,4.124730,1.25702811e-04,1.31325301e-04,ok
gemv_t,512,float32,l2,gemv,166,1.94879518e-04,2.690319,1.91566265e-04,2.25903614e-04,ok
gemv_n,1024,float32,l2,gemv,99,5.13636364e-04,4.082951,5.07070707e-04,5.22222222e-04,ok
gemv_t,1024,float32,l2,gemv,17,2.20294118e-03,0.951978,2.11176471e-03,2.30588235e-03,ok
gemv_n,64,float64,l2,gemv,20000,2.83250000e-06,2.892145,2.79000000e-06,2.91500000e-06,ok
gemv_t,64,float64,l2,gemv,20000,2.77750000e-06,2.949415,2.74500000e-06,2.80000000e-06,ok
gemv_n,128,float64,l2,gemv,20000,8.17000000e-06,4.010771,8.10000000e-06,8.27000000e-06,ok
gemv_t,128,float64,l2,gemv,20000,1.08300000e-05,3.025669,1.07650000e-05,1.09750000e-05,ok
gemv_n,256,float64,l2,gemv,499,3.12625251e-05,4.192624,3.06613226e-05,3.18637275e-05,ok
gemv_t,256,float64,l2,gemv,500,4.06000000e-05,3.228374,4.02000000e-05,4.34000000e-05,ok
gemv_n,512,float64,l2,gemv,250,1.28800000e-04,4.070559,1.27600000e-04,1.32400000e-04,ok
gemv_t,512,float64,l2,gemv,71,5.15492958e-04,1.017061,5.08450704e-04,5.21126761e-04,ok
gemv_n,1024,float64,l2,gemv,83,5.22289157e-04,4.015308,5.18072289e-04,5.25301205e-04,ok
gemv_t,1024,float64,l2,gemv,18,2.10555556e-03,0.996009,2.04444444e-03,2.18888889e-03,ok
gemm,64,float32,l3,gemm,499,1.10621242e-04,4.739488,1.09619238e-04,1.11623246e-04,ok
gemm_f,64,float32,l3,gemm,250,1.11200000e-04,4.714820,1.10000000e-04,1.12000000e-04,ok
syrk,64,float32,l3,syrk,250,1.10200000e-04,4.757604,1.08800000e-04,1.13200000e-04,ok
batched_matmul,64,float32,l3,gemm,45,1.10333333e-03,4.751855,1.08888889e-03,1.12888889e-03,ok
gemm_dot,64,float32,l3,gemm,500,1.14500000e-04,4.578934,1.13800000e-04,1.16000000e-04,ok
matmul,64,float32,l3,gemm,500,1.10600000e-04,4.740398,1.08800000e-04,1.11400000e-04,ok
tensordot,64,float32,l3,gemm,125,1.24400000e-04,4.214534,1.11200000e-04,1.25600000e-04,ok
multi_dot,64,float32,l3,gemm,166,2.36746988e-04,4.429100,2.31325301e-04,2.40963855e-04,ok
matrix_power,64,float32,l3,gemm,125,2.24000000e-04,4.681143,2.19200000e-04,2.31200000e-04,ok
gemm,128,float32,l3,gemm,41,1.17560976e-03,3.567769,1.16341463e-03,1.19024390e-03,ok
gemm_f,128,float32,l3,gemm,41,1.19146341e-03,3.520296,1.18536585e-03,1.20000000e-03,ok
syrk,128,float32,l3,syrk,55,8.70000000e-04,4.821039,8.61818182e-04,8.78181818e-04,ok
batched_matmul,128,float32,l3,gemm,4,1.18875000e-02,3.528331,1.17500000e-02,1.22500000e-02,ok
gemm_dot,128,float32,l3,gemm,38,1.20263158e-03,3.487605,1.19473684e-03,1.21578947e-03,ok
matmul,128,float32,l3,gemm,45,1.17555556e-03,3.567933,1.17111111e-03,1.20222222e-03,ok
tensordot,128,float32,l3,gemm,38,1.21842105e-03,3.442409,1.20526316e-03,1.29736842e-03,ok
multi_dot,128,float32,l3,gemm,20,2.42000000e-03,3.466367,2.40000000e-03,2.43500000e-03,ok
matrix_power,128,float32,l3,gemm,20,2.36500000e-03,3.546980,2.34500000e-03,2.38000000e-03,ok
gemm,256,float32,l3,gemm,4,9.73750000e-03,3.445898,9.62500000e-03,1.01250000e-02,ok
gemm_f,256,float32,l3,gemm,5,9.83000000e-03,3.413472,9.72000000e-03,9.98000000e-03,ok
syrk,256,float32,l3,syrk,6,7.65833333e-03,4.381427,7.58333333e-03,7.75000000e-03,ok
batched_matmul,256,float32,l3,gemm,1,9.81000000e-02,3.420431,9.75000000e-02,1.00200000e-01,ok
gemm_dot,256,float32,l3,gemm,5,9.64000000e-03,3.480750,9.56000000e-03,1.00000000e-02,ok
matmul,256,float32,l3,gemm,4,9.93750000e-03,3.376547,9.60000000e-03,1.01500000e-02,ok
tensordot,256,float32,l3,gemm,5,9.64000000e-03,3.480750,9.52000000e-03,9.80000000e-03,ok
multi_dot,256,float32,l3,gemm,2,1.91000000e-02,3.513553,1.89500000e-02,2.03500000e-02,ok
matrix_power,256,float32,l3,gemm,2,1.92250000e-02,3.490708,1.89000000e-02,1.93500000e-02,ok
gemm,512,float32,l3,gemm,1,1.14500000e-01,2.344414,1.13200000e-01,1.15400000e-01,ok
gemm_f,512,float32,l3,gemm,1,1.04700000e-01,2.563853,1.02900000e-01,1.06000000e-01,ok
syrk,512,float32,l3,syrk,1,6.35000000e-02,4.227330,6.28000000e-02,6.38000000e-02,ok
batched_matmul,512,float32,l3,gemm,1,1.22620000e+00,2.189165,1.21380000e+00,1.24680000e+00,ok
gemm_dot,512,float32,l3,gemm,1,1.13400000e-01,2.367156,1.12100000e-01,1.18600000e-01,ok
matmul,512,float32,l3,gemm,1,1.17400000e-01,2.286503,1.16400000e-01,1.17900000e-01,ok
tensordot,512,float32,l3,gemm,1,1.12900000e-01,2.377639,1.12100000e-01,1.14500000e-01,ok
multi_dot,512,float32,l3,gemm,1,2.12100000e-01,2.531216,2.09800000e-01,2.13800000e-01,ok
matrix_power,512,float32,l3,gemm,1,2.06250000e-01,2.603010,2.05400000e-01,2.08800000e-01,ok
gemm,1024,float32,l3,gemm,1,2.37940000e+00,0.902532,2.34270000e+00,1.01110000e+01,ok
gemm_f,1024,float32,l3,gemm,1,2.29755000e+00,0.934684,2.22570000e+00,2.32400000e+00,ok
syrk,1024,float32,l3,syrk,1,5.07450000e-01,4.231912,5.06800000e-01,5.16100000e-01,ok
batched_matmul,1024,float32,l3,gemm,1,2.35567000e+01,0.911623,2.33751000e+01,2.38194000e+01,ok
gemm_dot,1024,float32,l3,gemm,1,2.35700000e+00,0.911109,2.34810000e+00,2.36400000e+00,ok
matmul,1024,float32,l3,gemm,1,2.37500000e+00,0.904204,2.35350000e+00,2.38980000e+00,ok
tensordot,1024,float32,l3,gemm,1,2.21465000e+00,0.969672,2.17020000e+00,2.26400000e+00,ok
multi_dot,1024,float32,l3,gemm,1,4.43645000e+00,0.968109,4.41460000e+00,4.47510000e+00,ok
matrix_power,1024,float32,l3,gemm,1,4.73490000e+00,0.907087,4.67060000e+00,4.75560000e+00,ok
gemm,64,float64,l3,gemm,250,1.05000000e-04,4.993219,1.04800000e-04,1.06400000e-04,ok
gemm_f,64,float64,l3,gemm,499,1.05310621e-04,4.978491,1.05010020e-04,1.07414830e-04,ok
syrk,64,float64,l3,syrk,500,1.04800000e-04,5.002748,1.04200000e-04,1.05800000e-04,ok
batched_matmul,64,float64,l3,gemm,55,1.03363636e-03,5.072267,1.02545455e-03,1.04363636e-03,ok
gemm_dot,64,float64,l3,gemm,500,1.08900000e-04,4.814399,1.08200000e-04,1.10000000e-04,ok
matmul,64,float64,l3,gemm,250,1.04600000e-04,5.012314,1.04000000e-04,1.06000000e-04,ok
tensordot,64,float64,l3,gemm,250,1.17000000e-04,4.481094,1.16400000e-04,1.17600000e-04,ok
multi_dot,64,float64,l3,gemm,250,2.21800000e-04,4.727574,2.21200000e-04,2.33600000e-04,ok
matrix_power,64,float64,l3,gemm,124,2.09274194e-04,5.010537,2.08064516e-04,2.11290323e-04,ok
gemm,128,float64,l3,gemm,41,1.14390244e-03,3.666662,1.10731707e-03,1.15365854e-03,ok
gemm_f,128,float64,l3,gemm,45,1.16666667e-03,3.595118,1.15111111e-03,1.19333333e-03,ok
syrk,128,float64,l3,syrk,55,8.28181818e-04,5.064472,8.23636364e-04,8.36363636e-04,ok
batched_matmul,128,float64,l3,gemm,4,1.12125000e-02,3.740739,1.10250000e-02,1.14250000e-02,ok
gemm_dot,128,float64,l3,gemm,41,1.16219512e-03,3.608950,1.15609756e-03,1.20243902e-03,ok
matmul,128,float64,l3,gemm,45,1.11666667e-03,3.756093,1.10888889e-03,1.12222222e-03,ok
tensordot,128,float64,l3,gemm,35,1.17428571e-03,3.571792,1.16285714e-03,1.18285714e-03,ok
multi_dot,128,float64,l3,gemm,20,2.33500000e-03,3.592552,2.30500000e-03,2.39000000e-03,ok
matrix_power,128,float64,l3,gemm,21,2.23809524e-03,3.748101,2.21904762e-03,2.26190476e-03,ok
gemm,256,float64,l3,gemm,5,9.60000000e-03,3.495253,9.52000000e-03,9.72000000e-03,ok
gemm_f,256,float64,l3,gemm,5,9.28000000e-03,3.615779,9.26000000e-03,9.38000000e-03,ok
syrk,256,float64,l3,syrk,6,7.00833333e-03,4.787791,6.95000000e-03,7.10000000e-03,ok
batched_matmul,256,float64,l3,gemm,1,9.69000000e-02,3.462790,9.61000000e-02,1.02800000e-01,ok
gemm_dot,256,float64,l3,gemm,6,8.94166667e-03,3.752593,8.91666667e-03,8.96666667e-03,ok
matmul,256,float64,l3,gemm,5,9.80000000e-03,3.423922,9.76000000e-03,1.00200000e-02,ok
tensordot,256,float64,l3,gemm,5,9.00000000e-03,3.728270,8.94000000e-03,9.12000000e-03,ok
