op,n,dtype,group,blas,inner,median_s,gflops,min_s,max_s,status
dot,10000,float32,l1,dot,499,6.21242485e-06,3.219355,6.01202405e-06,6.41282565e-06,ok
vdot,10000,float32,l1,dotc,500,6.20000000e-06,3.225806,6.20000000e-06,6.40000000e-06,ok
inner,10000,float32,l1,dot,500,6.20000000e-06,3.225806,6.00000000e-06,6.40000000e-06,ok
norm2,10000,float32,l1,nrm2,499,7.21442886e-06,2.772222,7.01402806e-06,7.61523046e-06,ok
vecdot,10000,float32,l1,dot,50,8.00000000e-06,2.500000,4.00000000e-06,8.00000000e-06,ok
vector_norm,10000,float32,l1,nrm2,62,1.29032258e-05,1.550000,9.67741935e-06,1.93548387e-05,ok
dot,100000,float32,l1,dot,20000,4.99700000e-05,4.002401,4.93550000e-05,5.12850000e-05,ok
vdot,100000,float32,l1,dotc,500,5.59000000e-05,3.577818,5.00000000e-05,5.68000000e-05,ok
inner,100000,float32,l1,dot,20000,4.96500000e-05,4.028197,4.95150000e-05,5.03750000e-05,ok
norm2,100000,float32,l1,nrm2,499,5.01002004e-05,3.992000,4.96993988e-05,5.13026052e-05,ok
vecdot,100000,float32,l1,dot,500,5.11000000e-05,3.913894,5.04000000e-05,5.26000000e-05,ok
vector_norm,100000,float32,l1,nrm2,250,7.30000000e-05,2.739726,7.20000000e-05,7.40000000e-05,ok
dot,1000000,float32,l1,dot,99,4.94949495e-04,4.040816,4.83838384e-04,5.08080808e-04,ok
vdot,1000000,float32,l1,dotc,83,4.95783133e-04,4.034022,4.84337349e-04,4.98795181e-04,ok
inner,1000000,float32,l1,dot,100,4.92500000e-04,4.060914,4.84000000e-04,5.01000000e-04,ok
norm2,1000000,float32,l1,nrm2,125,4.90800000e-04,4.074980,4.87200000e-04,5.03200000e-04,ok
vecdot,1000000,float32,l1,dot,99,4.93939394e-04,4.049080,4.86868687e-04,4.97979798e-04,ok
vector_norm,1000000,float32,l1,nrm2,62,6.87903226e-04,2.907386,6.83870968e-04,6.93548387e-04,ok
dot,10000,float64,l1,dot,499,6.01202405e-06,3.326667,5.61122244e-06,6.21242485e-06,ok
vdot,10000,float64,l1,dotc,20000,5.85000000e-06,3.418803,5.82500000e-06,6.01000000e-06,ok
inner,10000,float64,l1,dot,20000,5.95750000e-06,3.357113,5.92500000e-06,6.07500000e-06,ok
norm2,10000,float64,l1,nrm2,499,6.81362725e-06,2.935294,6.61322645e-06,7.21442886e-06,ok
vecdot,10000,float64,l1,dot,500,6.40000000e-06,3.125000,6.20000000e-06,6.60000000e-06,ok
vector_norm,10000,float64,l1,nrm2,250,1.06000000e-05,1.886792,1.00000000e-05,1.12000000e-05,ok
dot,100000,float64,l1,dot,20000,5.03025000e-05,3.975946,4.92200000e-05,5.16200000e-05,ok
