op,n,dtype,group,blas,inner,median_s,gflops,min_s,max_s,status
dot,10000,float32,l1,dot,500,1.80000000e-06,11.111111,1.60000000e-06,2.20000000e-06,ok
vdot,10000,float32,l1,dotc,250,2.00000000e-06,10.000000,1.60000000e-06,2.40000000e-06,ok
inner,10000,float32,l1,dot,20000,1.70500000e-06,11.730205,1.69500000e-06,1.73000000e-06,ok
norm2,10000,float32,l1,nrm2,250,2.80000000e-06,7.142857,2.00000000e-06,2.80000000e-06,ok
vecdot,10000,float32,l1,dot,55,2.72727273e-06,7.333333,1.81818182e-06,3.63636364e-06,ok
vector_norm,10000,float32,l1,nrm2,62,1.20967742e-05,1.653333,9.67741935e-06,1.29032258e-05,ok
dot,100000,float32,l1,dot,20000,7.57750000e-06,26.393929,7.55500000e-06,7.64000000e-06,ok
vdot,100000,float32,l1,dotc,500,7.80000000e-06,25.641026,7.60000000e-06,8.00000000e-06,ok
inner,100000,float32,l1,dot,20000,7.80500000e-06,25.624600,7.77500000e-06,7.82500000e-06,ok
norm2,100000,float32,l1,nrm2,500,7.90000000e-06,25.316456,7.60000000e-06,8.40000000e-06,ok
vecdot,100000,float32,l1,dot,500,8.60000000e-06,23.255814,8.60000000e-06,8.80000000e-06,ok
vector_norm,100000,float32,l1,nrm2,500,6.97000000e-05,2.869440,6.92000000e-05,7.04000000e-05,ok
dot,1000000,float32,l1,dot,166,1.07831325e-04,18.547486,9.69879518e-05,1.19277108e-04,ok
vdot,1000000,float32,l1,dotc,166,1.18674699e-04,16.852792,1.01807229e-04,1.48192771e-04,ok
inner,1000000,float32,l1,dot,500,1.18500000e-04,16.877637,1.03400000e-04,1.42200000e-04,ok
norm2,1000000,float32,l1,nrm2,500,6.73000000e-05,29.717682,6.32000000e-05,6.98000000e-05,ok
vecdot,1000000,float32,l1,dot,166,1.13855422e-04,17.566138,1.00000000e-04,1.43975904e-04,ok
vector_norm,1000000,float32,l1,nrm2,71,6.57042254e-04,3.043944,6.52112676e-04,6.67605634e-04,ok
dot,10000,float64,l1,dot,250,2.40000000e-06,8.333333,1.60000000e-06,2.40000000e-06,ok
vdot,10000,float64,l1,dotc,20000,2.42750000e-06,8.238929,2.40500000e-06,2.53000000e-06,ok
inner,10000,float64,l1,dot,20000,2.43250000e-06,8.221994,2.42500000e-06,2.45500000e-06,ok
norm2,10000,float64,l1,nrm2,20000,3.04000000e-06,6.578947,3.02000000e-06,3.12000000e-06,ok
vecdot,10000,float64,l1,dot,500,2.80000000e-06,7.142857,2.60000000e-06,3.00000000e-06,ok
vector_norm,10000,float64,l1,nrm2,249,1.00401606e-05,1.992000,1.00401606e-05,1.04417671e-05,ok
dot,100000,float64,l1,dot,500,2.33000000e-05,8.583691,1.84000000e-05,2.60000000e-05,ok
vdot,100000,float64,l1,dotc,20000,2.11200000e-05,9.469697,2.06150000e-05,2.46950000e-05,ok
inner,100000,float64,l1,dot,20000,1.97975000e-05,10.102286,1.88000000e-05,2.14800000e-05,ok
norm2,100000,float64,l1,nrm2,20000,1.43725000e-05,13.915464,1.43050000e-05,1.45600000e-05,ok
vecdot,100000,float64,l1,dot,20000,2.17950000e-05,9.176417,2.11850000e-05,2.21100000e-05,ok
vector_norm,100000,float64,l1,nrm2,250,7.00000000e-05,2.857143,6.88000000e-05,7.08000000e-05,ok
dot,1000000,float64,l1,dot,62,2.45967742e-04,8.131148,2.30645161e-04,2.85483871e-04,ok
vdot,1000000,float64,l1,dotc,83,2.33132530e-04,8.578811,2.18072289e-04,2.48192771e-04,ok
inner,1000000,float64,l1,dot,125,2.50800000e-04,7.974482,2.28000000e-04,2.68800000e-04,ok
norm2,1000000,float64,l1,nrm2,125,1.37200000e-04,14.577259,1.32800000e-04,1.42400000e-04,ok
vecdot,1000000,float64,l1,dot,83,2.39156627e-04,8.362720,2.27710843e-04,2.60240964e-04,ok
vector_norm,1000000,float64,l1,nrm2,50,6.94000000e-04,2.881844,6.88000000e-04,7.30000000e-04,ok
gemv_n,64,float32,l2,gemv,125,1.60000000e-06,5.120000,8.00000000e-07,8.00000000e-06,ok
gemv_t,64,float32,l2,gemv,20000,1.33500000e-06,6.136330,1.31500000e-06,1.34000000e-06,ok
gemv_n,128,float32,l2,gemv,500,2.00000000e-06,16.384000,2.00000000e-06,2.20000000e-06,ok
gemv_t,128,float32,l2,gemv,20000,2.19000000e-06,14.962557,2.18000000e-06,2.24500000e-06,ok
gemv_n,256,float32,l2,gemv,27,3.70370370e-06,35.389440,0.00000000e+00,7.40740741e-06,ok
gemv_t,256,float32,l2,gemv,20000,4.81250000e-06,27.235740,4.79500000e-06,4.91000000e-06,ok
gemv_n,512,float32,l2,gemv,20000,1.63225000e-05,32.120570,1.62150000e-05,1.65400000e-05,ok
gemv_t,512,float32,l2,gemv,20000,1.72450000e-05,30.402320,1.71450000e-05,1.73850000e-05,ok
gemv_n,1024,float32,l2,gemv,500,7.03000000e-05,29.831465,6.84000000e-05,7.64000000e-05,ok
gemv_t,1024,float32,l2,gemv,249,7.28915663e-05,28.770846,6.78714859e-05,8.07228916e-05,ok
gemv_n,64,float64,l2,gemv,249,1.60642570e-06,5.099520,1.20481928e-06,2.00803213e-06,ok
gemv_t,64,float64,l2,gemv,500,1.60000000e-06,5.120000,1.60000000e-06,1.60000000e-06,ok
gemv_n,128,float64,l2,gemv,20000,2.90000000e-06,11.299310,2.88500000e-06,2.95000000e-06,ok
gemv_t,128,float64,l2,gemv,500,3.00000000e-06,10.922667,2.80000000e-06,3.20000000e-06,ok
gemv_n,256,float64,l2,gemv,20000,7.90500000e-06,16.580898,7.88000000e-06,8.06500000e-06,ok
gemv_t,256,float64,l2,gemv,20000,8.02250000e-06,16.338049,7.79000000e-06,8.29500000e-06,ok
gemv_n,512,float64,l2,gemv,250,3.68000000e-05,14.246957,3.12000000e-05,3.96000000e-05,ok
gemv_t,512,float64,l2,gemv,499,3.48697395e-05,15.035616,3.16633267e-05,3.74749499e-05,ok
gemv_n,1024,float64,l2,gemv,166,1.25301205e-04,16.736886,1.14457831e-04,1.38554217e-04,ok
gemv_t,1024,float64,l2,gemv,250,1.37200000e-04,15.285364,1.28800000e-04,2.03200000e-04,ok
gemm,64,float32,l3,gemm,99,1.21212121e-05,43.253760,1.11111111e-05,1.91919192e-05,ok
gemm_f,64,float32,l3,gemm,500,1.20000000e-05,43.690667,1.20000000e-05,1.24000000e-05,ok
syrk,64,float32,l3,syrk,166,1.02409639e-05,51.195181,9.63855422e-06,1.38554217e-05,ok
batched_matmul,64,float32,l3,gemm,500,1.05600000e-04,49.648485,1.04800000e-04,1.09800000e-04,ok
gemm_dot,64,float32,l3,gemm,20000,1.13675000e-05,46.121663,1.12550000e-05,1.15600000e-05,ok
matmul,64,float32,l3,gemm,499,1.18236473e-05,44.342324,1.16232465e-05,1.20240481e-05,ok
tensordot,64,float32,l3,gemm,166,1.92771084e-05,27.197440,1.86746988e-05,1.98795181e-05,ok
multi_dot,64,float32,l3,gemm,499,2.54509018e-05,41.199955,2.52505010e-05,2.62525050e-05,ok
matrix_power,64,float32,l3,gemm,499,2.52505010e-05,41.526938,2.50501002e-05,2.56513026e-05,ok
gemm,128,float32,l3,gemm,499,8.05611222e-05,52.063624,8.03607214e-05,8.11623246e-05,ok
gemm_f,128,float32,l3,gemm,500,7.95000000e-05,52.758541,7.68000000e-05,8.52000000e-05,ok
syrk,128,float32,l3,syrk,20000,5.43525000e-05,77.168557,5.41700000e-05,5.45950000e-05,ok
batched_matmul,128,float32,l3,gemm,62,7.73387097e-04,54.232919,7.69354839e-04,7.85483871e-04,ok
gemm_dot,128,float32,l3,gemm,500,7.80000000e-05,53.773128,7.76000000e-05,7.88000000e-05,ok
matmul,128,float32,l3,gemm,499,7.78557114e-05,53.872785,7.75551102e-05,7.85571142e-05,ok
tensordot,128,float32,l3,gemm,499,8.49699399e-05,49.362210,8.49699399e-05,8.55711423e-05,ok
multi_dot,128,float32,l3,gemm,499,1.58416834e-04,52.952756,1.57114228e-04,1.60721443e-04,ok
matrix_power,128,float32,l3,gemm,249,1.57028112e-04,53.421059,1.55823293e-04,1.58232932e-04,ok
gemm,256,float32,l3,gemm,83,5.90963855e-04,56.779161,5.87951807e-04,5.95180723e-04,ok
gemm_f,256,float32,l3,gemm,83,5.96385542e-04,56.262987,5.91566265e-04,6.10843373e-04,ok
syrk,256,float32,l3,syrk,166,3.83734940e-04,87.441691,3.80722892e-04,3.84939759e-04,ok
batched_matmul,256,float32,l3,gemm,8,5.91875000e-03,56.691754,5.88750000e-03,6.06250000e-03,ok
gemm_dot,256,float32,l3,gemm,83,5.93975904e-04,56.491234,5.91566265e-04,6.14457831e-04,ok
matmul,256,float32,l3,gemm,83,5.89759036e-04,56.895155,5.86746988e-04,5.97590361e-04,ok
tensordot,256,float32,l3,gemm,71,6.00000000e-04,55.924053,5.98591549e-04,6.21126761e-04,ok
multi_dot,256,float32,l3,gemm,41,1.19146341e-03,56.324737,1.18292683e-03,1.20000000e-03,ok
matrix_power,256,float32,l3,gemm,45,1.18000000e-03,56.871919,1.17333333e-03,1.18888889e-03,ok
gemm,512,float32,l3,gemm,10,4.62500000e-03,58.040099,4.60000000e-03,4.77000000e-03,ok
gemm_f,512,float32,l3,gemm,11,4.61818182e-03,58.125788,4.60000000e-03,4.68181818e-03,ok
syrk,512,float32,l3,syrk,17,2.70588235e-03,99.204408,2.69411765e-03,2.71764706e-03,ok
batched_matmul,512,float32,l3,gemm,1,4.70000000e-02,57.113927,4.66000000e-02,4.76000000e-02,ok
gemm_dot,512,float32,l3,gemm,10,4.62000000e-03,58.102913,4.60000000e-03,4.64000000e-03,ok
matmul,512,float32,l3,gemm,10,4.60500000e-03,58.292173,4.59000000e-03,4.70000000e-03,ok
tensordot,512,float32,l3,gemm,10,4.65000000e-03,57.728055,4.63000000e-03,4.69000000e-03,ok
multi_dot,512,float32,l3,gemm,5,9.32000000e-03,57.604175,9.22000000e-03,9.40000000e-03,ok
matrix_power,512,float32,l3,gemm,5,9.27000000e-03,57.914877,9.20000000e-03,9.78000000e-03,ok
gemm,1024,float32,l3,gemm,1,3.67000000e-02,58.514541,3.64000000e-02,3.72000000e-02,ok
gemm_f,1024,float32,l3,gemm,1,3.66000000e-02,58.674417,3.62000000e-02,3.70000000e-02,ok
syrk,1024,float32,l3,syrk,2,2.00500000e-02,107.106416,1.98000000e-02,2.11500000e-02,ok
batched_matmul,1024,float32,l3,gemm,1,3.69850000e-01,58.063638,3.68300000e-01,3.78900000e-01,ok
gemm_dot,1024,float32,l3,gemm,1,3.66000000e-02,58.674417,3.64000000e-02,3.68000000e-02,ok
matmul,1024,float32,l3,gemm,1,3.66000000e-02,58.674417,3.63000000e-02,3.69000000e-02,ok
tensordot,1024,float32,l3,gemm,1,3.67000000e-02,58.514541,3.66000000e-02,3.83000000e-02,ok
multi_dot,1024,float32,l3,gemm,1,7.37000000e-02,58.276354,7.32000000e-02,7.41000000e-02,ok
matrix_power,1024,float32,l3,gemm,1,7.34000000e-02,58.514541,7.29000000e-02,7.45000000e-02,ok
gemm,64,float64,l3,gemm,100,2.20000000e-05,23.831273,2.00000000e-05,2.80000000e-05,ok
gemm_f,64,float64,l3,gemm,250,2.16000000e-05,24.272593,2.12000000e-05,2.16000000e-05,ok
syrk,64,float64,l3,syrk,500,1.38000000e-05,37.991884,1.36000000e-05,1.40000000e-05,ok
batched_matmul,64,float64,l3,gemm,250,2.01800000e-04,25.980575,1.99200000e-04,2.02400000e-04,ok
gemm_dot,64,float64,l3,gemm,20000,2.08550000e-05,25.139679,2.07600000e-05,2.08800000e-05,ok
matmul,64,float64,l3,gemm,20000,2.12500000e-05,24.672376,2.11050000e-05,2.14150000e-05,ok
tensordot,64,float64,l3,gemm,499,2.72545090e-05,19.236744,2.68537074e-05,2.76553106e-05,ok
multi_dot,64,float64,l3,gemm,499,4.35871743e-05,24.056985,4.28857715e-05,4.38877756e-05,ok
matrix_power,64,float64,l3,gemm,499,4.33867735e-05,24.168103,4.32865731e-05,4.40881764e-05,ok
gemm,128,float64,l3,gemm,500,1.49200000e-04,28.111957,1.48800000e-04,1.51400000e-04,ok
gemm_f,128,float64,l3,gemm,249,1.50602410e-04,27.850179,1.49799197e-04,1.51004016e-04,ok
syrk,128,float64,l3,syrk,499,9.39879760e-05,44.625964,9.35871743e-05,9.43887776e-05,ok
batched_matmul,128,float64,l3,gemm,29,1.51379310e-03,27.707247,1.50689655e-03,1.54827586e-03,ok
gemm_dot,128,float64,l3,gemm,166,1.51204819e-04,27.739222,1.50602410e-04,1.52409639e-04,ok
matmul,128,float64,l3,gemm,250,1.49600000e-04,28.036791,1.48800000e-04,1.50800000e-04,ok
tensordot,128,float64,l3,gemm,166,1.57831325e-04,26.574598,1.56626506e-04,1.59036145e-04,ok
multi_dot,128,float64,l3,gemm,124,3.05241935e-04,27.481833,3.04032258e-04,3.06451613e-04,ok
matrix_power,128,float64,l3,gemm,166,3.01204819e-04,27.850179,2.99397590e-04,3.01807229e-04,ok
gemm,256,float64,l3,gemm,38,1.16184211e-03,28.880372,1.16052632e-03,1.17368421e-03,ok
gemm_f,256,float64,l3,gemm,41,1.16341463e-03,28.841336,1.15609756e-03,1.20731707e-03,ok
syrk,256,float64,l3,syrk,62,6.70161290e-04,50.069189,6.67741935e-04,6.75806452e-04,ok
batched_matmul,256,float64,l3,gemm,4,1.17750000e-02,28.496333,1.17500000e-02,1.19000000e-02,ok
gemm_dot,256,float64,l3,gemm,41,1.16707317e-03,28.750924,1.16097561e-03,1.19512195e-03,ok
matmul,256,float64,l3,gemm,41,1.16097561e-03,28.901927,1.15609756e-03,1.16829268e-03,ok
tensordot,256,float64,l3,gemm,41,1.18048780e-03,28.424209,1.17073171e-03,1.19512195e-03,ok
multi_dot,256,float64,l3,gemm,21,2.35714286e-03,28.470427,2.34285714e-03,2.42380952e-03,ok
matrix_power,256,float64,l3,gemm,21,2.33333333e-03,28.760942,2.31904762e-03,2.34285714e-03,ok
gemm,512,float64,l3,gemm,5,9.16000000e-03,29.305181,9.06000000e-03,9.26000000e-03,ok
gemm_f,512,float64,l3,gemm,5,9.19000000e-03,29.209516,8.56000000e-03,9.68000000e-03,ok
syrk,512,float64,l3,syrk,9,5.02777778e-03,53.390477,4.98888889e-03,5.05555556e-03,ok
batched_matmul,512,float64,l3,gemm,1,9.35000000e-02,28.709674,9.31000000e-02,9.54000000e-02,ok
gemm_dot,512,float64,l3,gemm,5,9.24000000e-03,29.051456,9.18000000e-03,9.30000000e-03,ok
matmul,512,float64,l3,gemm,5,9.19000000e-03,29.209516,9.12000000e-03,9.64000000e-03,ok
tensordot,512,float64,l3,gemm,5,9.23000000e-03,29.082931,9.18000000e-03,9.32000000e-03,ok
multi_dot,512,float64,l3,gemm,2,1.84750000e-02,29.059319,1.84000000e-02,1.90000000e-02,ok
matrix_power,512,float64,l3,gemm,2,1.84250000e-02,29.138177,1.83000000e-02,1.86500000e-02,ok
gemm,1024,float64,l3,gemm,1,7.31000000e-02,29.377341,7.29000000e-02,7.41000000e-02,ok
gemm_f,1024,float64,l3,gemm,1,7.34500000e-02,29.237354,7.29000000e-02,7.55000000e-02,ok
syrk,1024,float64,l3,syrk,1,3.82000000e-02,56.216849,3.80000000e-02,3.85000000e-02,ok
batched_matmul,1024,float64,l3,gemm,1,7.36150000e-01,29.171822,7.34300000e-01,7.40900000e-01,ok
gemm_dot,1024,float64,l3,gemm,1,7.33000000e-02,29.297185,7.29000000e-02,7.55000000e-02,ok
matmul,1024,float64,l3,gemm,1,7.30000000e-02,29.417584,7.26000000e-02,7.37000000e-02,ok
tensordot,1024,float64,l3,gemm,1,7.36000000e-02,29.177767,7.29000000e-02,7.58000000e-02,ok
multi_dot,1024,float64,l3,gemm,1,1.47200000e-01,29.177767,1.46900000e-01,1.49100000e-01,ok
matrix_power,1024,float64,l3,gemm,1,1.49850000e-01,28.661777,1.49500000e-01,1.51200000e-01,ok
solve,64,float32,lapack,gesv,55,3.27272727e-05,,3.09090909e-05,3.63636364e-05,ok
inv,64,float32,lapack,getrf,124,7.90322581e-05,,7.74193548e-05,7.90322581e-05,ok
cholesky,64,float32,lapack,potrf,249,2.44979920e-05,,2.40963855e-05,2.61044177e-05,ok
eigh,64,float32,lapack,syevd,15,2.93333333e-04,,2.80000000e-04,3.00000000e-04,ok
eigvalsh,64,float32,lapack,syevd,166,1.15963855e-04,,1.09638554e-04,1.20481928e-04,ok
eig,64,float32,lapack,geev,10,1.09000000e-03,,1.07000000e-03,1.10000000e-03,ok
eigvals,64,float32,lapack,geev,62,6.49193548e-04,,6.41935484e-04,6.59677419e-04,ok
svd,64,float32,lapack,gesdd,29,1.62068966e-04,,1.55172414e-04,1.65517241e-04,ok
svd_full,64,float32,lapack,gesdd,38,4.50000000e-04,,4.47368421e-04,4.52631579e-04,ok
qr,64,float32,lapack,geqrf,49,1.22448980e-04,,1.20408163e-04,1.38775510e-04,ok
lstsq,64,float32,lapack,gelsd,29,5.29310345e-04,,5.20689655e-04,5.34482759e-04,ok
det,64,float32,lapack,getrf,166,2.71084337e-05,,2.65060241e-05,2.77108434e-05,ok
slogdet,64,float32,lapack,getrf,499,2.90581162e-05,,2.86573146e-05,2.94589178e-05,ok
pinv,64,float32,lapack,gesdd,41,4.97560976e-04,,4.92682927e-04,5.21951220e-04,ok
cond,64,float32,lapack,gesdd,100,1.70000000e-04,,1.67000000e-04,1.72000000e-04,ok
matrix_rank,64,float32,lapack,gesdd,71,1.77464789e-04,,1.74647887e-04,1.80281690e-04,ok
svdvals,64,float32,lapack,gesdd,250,1.66800000e-04,,1.64800000e-04,1.68400000e-04,ok
matrix_norm,64,float32,lapack,gesdd,100,1.70000000e-04,,1.67000000e-04,1.80000000e-04,ok
tensorsolve,64,float32,lapack,gesv,166,1.16566265e-04,,1.15662651e-04,1.16867470e-04,ok
tensorinv,64,float32,lapack,getrf,100,3.88500000e-04,,3.87000000e-04,3.99000000e-04,ok
solve,128,float32,lapack,gesv,166,1.20481928e-04,,1.19277108e-04,1.21084337e-04,ok
