op,n,dtype,group,blas,inner,median_s,gflops,min_s,max_s,status
dot,10000,float32,l1,dot,499,1.80360721e-06,11.088889,1.60320641e-06,2.00400802e-06,ok
vdot,10000,float32,l1,dotc,250,1.60000000e-06,12.500000,1.20000000e-06,2.00000000e-06,ok
inner,10000,float32,l1,dot,20000,1.48500000e-06,13.468013,1.48500000e-06,1.51500000e-06,ok
norm2,10000,float32,l1,nrm2,499,2.20440882e-06,9.072727,2.00400802e-06,3.40681363e-06,ok
vecdot,10000,float32,l1,dot,62,1.61290323e-06,12.400000,1.61290323e-06,3.22580645e-06,ok
vector_norm,10000,float32,l1,nrm2,99,9.09090909e-06,2.200000,8.08080808e-06,1.01010101e-05,ok
dot,100000,float32,l1,dot,500,6.40000000e-06,31.250000,6.20000000e-06,6.60000000e-06,ok
vdot,100000,float32,l1,dotc,499,6.51302605e-06,30.707692,6.41282565e-06,6.61322645e-06,ok
inner,100000,float32,l1,dot,20000,6.54500000e-06,30.557678,6.54000000e-06,6.54500000e-06,ok
norm2,100000,float32,l1,nrm2,20000,5.88250000e-06,33.999150,5.87500000e-06,5.89500000e-06,ok
vecdot,100000,float32,l1,dot,499,6.81362725e-06,29.352941,6.81362725e-06,7.01402806e-06,ok
vector_norm,100000,float32,l1,nrm2,500,5.48000000e-05,3.649635,5.44000000e-05,5.50000000e-05,ok
dot,1000000,float32,l1,dot,166,7.86144578e-05,25.440613,7.83132530e-05,7.89156627e-05,ok
vdot,1000000,float32,l1,dotc,249,7.83132530e-05,25.538462,7.83132530e-05,8.11244980e-05,ok
inner,1000000,float32,l1,dot,500,7.85000000e-05,25.477707,7.84000000e-05,7.88000000e-05,ok
norm2,1000000,float32,l1,nrm2,500,5.07000000e-05,39.447732,5.04000000e-05,5.10000000e-05,ok
vecdot,1000000,float32,l1,dot,250,7.96000000e-05,25.125628,7.88000000e-05,9.12000000e-05,ok
vector_norm,1000000,float32,l1,nrm2,83,5.25301205e-04,3.807339,5.22891566e-04,5.27710843e-04,ok
dot,10000,float64,l1,dot,20000,1.93500000e-06,10.335917,1.92500000e-06,1.93500000e-06,ok
vdot,10000,float64,l1,dotc,20000,2.05500000e-06,9.732360,2.05000000e-06,2.05500000e-06,ok
inner,10000,float64,l1,dot,20000,2.10000000e-06,9.523810,2.09000000e-06,2.10500000e-06,ok
norm2,10000,float64,l1,nrm2,500,2.60000000e-06,7.692308,2.40000000e-06,2.60000000e-06,ok
vecdot,10000,float64,l1,dot,500,2.40000000e-06,8.333333,2.20000000e-06,2.60000000e-06,ok
vector_norm,10000,float64,l1,nrm2,500,8.00000000e-06,2.500000,8.00000000e-06,8.20000000e-06,ok
dot,100000,float64,l1,dot,20000,1.22625000e-05,16.309888,1.22550000e-05,1.22900000e-05,ok
vdot,100000,float64,l1,dotc,20000,1.24225000e-05,16.099819,1.24150000e-05,1.24350000e-05,ok
inner,100000,float64,l1,dot,20000,1.24850000e-05,16.019223,1.24750000e-05,1.25000000e-05,ok
norm2,100000,float64,l1,nrm2,20000,1.21525000e-05,16.457519,1.21350000e-05,1.21650000e-05,ok
vecdot,100000,float64,l1,dot,20000,1.30100000e-05,15.372790,1.30050000e-05,1.30200000e-05,ok
vector_norm,100000,float64,l1,nrm2,500,5.46000000e-05,3.663004,5.44000000e-05,5.48000000e-05,ok
dot,1000000,float64,l1,dot,71,1.64084507e-04,12.188841,1.61971831e-04,1.67605634e-04,ok
vdot,1000000,float64,l1,dotc,166,1.64457831e-04,12.161172,1.63855422e-04,1.65060241e-04,ok
inner,1000000,float64,l1,dot,250,1.64000000e-04,12.195122,1.63200000e-04,1.67200000e-04,ok
norm2,1000000,float64,l1,nrm2,250,1.15000000e-04,17.391304,1.14800000e-04,1.15200000e-04,ok
vecdot,1000000,float64,l1,dot,125,1.65600000e-04,12.077295,1.64800000e-04,1.66400000e-04,ok
vector_norm,1000000,float64,l1,nrm2,83,5.45783133e-04,3.664459,5.44578313e-04,5.48192771e-04,ok
gemv_n,64,float32,l2,gemv,125,1.60000000e-06,5.120000,8.00000000e-07,6.40000000e-06,ok
gemv_t,64,float32,l2,gemv,250,1.20000000e-06,6.826667,8.00000000e-07,2.00000000e-06,ok
gemv_n,128,float32,l2,gemv,20000,1.65000000e-06,19.859394,1.64000000e-06,1.65500000e-06,ok
gemv_t,128,float32,l2,gemv,20000,1.72500000e-06,18.995942,1.72000000e-06,1.73000000e-06,ok
gemv_n,256,float32,l2,gemv,33,3.03030303e-06,43.253760,0.00000000e+00,6.06060606e-06,ok
gemv_t,256,float32,l2,gemv,20000,4.01000000e-06,32.686284,3.99500000e-06,4.02000000e-06,ok
gemv_n,512,float32,l2,gemv,500,1.16000000e-05,45.197241,1.14000000e-05,1.18000000e-05,ok
gemv_t,512,float32,l2,gemv,20000,1.21600000e-05,43.115789,1.21400000e-05,1.22050000e-05,ok
gemv_n,1024,float32,l2,gemv,500,5.08000000e-05,41.282520,5.06000000e-05,5.16000000e-05,ok
gemv_t,1024,float32,l2,gemv,250,5.00000000e-05,41.943040,4.96000000e-05,5.20000000e-05,ok
gemv_n,64,float64,l2,gemv,249,1.20481928e-06,6.799360,8.03212851e-07,1.60642570e-06,ok
gemv_t,64,float64,l2,gemv,20000,1.27750000e-06,6.412524,1.26500000e-06,1.29000000e-06,ok
gemv_n,128,float64,l2,gemv,20000,2.20000000e-06,14.894545,2.19000000e-06,2.24000000e-06,ok
gemv_t,128,float64,l2,gemv,20000,2.29750000e-06,14.262459,2.28500000e-06,2.30500000e-06,ok
gemv_n,256,float64,l2,gemv,20000,5.96250000e-06,21.982725,5.96000000e-06,5.97500000e-06,ok
gemv_t,256,float64,l2,gemv,20000,6.28500000e-06,20.854733,6.27000000e-06,6.29500000e-06,ok
gemv_n,512,float64,l2,gemv,500,2.36000000e-05,22.215593,2.32000000e-05,2.42000000e-05,ok
gemv_t,512,float64,l2,gemv,499,2.38476954e-05,21.984850,2.32464930e-05,2.46492986e-05,ok
gemv_n,1024,float64,l2,gemv,166,9.09638554e-05,23.054784,9.03614458e-05,9.69879518e-05,ok
gemv_t,1024,float64,l2,gemv,500,1.01400000e-04,20.681972,9.94000000e-05,1.07800000e-04,ok
gemm,64,float32,l3,gemm,166,1.14457831e-05,45.806215,1.08433735e-05,1.44578313e-05,ok
gemm_f,64,float32,l3,gemm,250,1.16000000e-05,45.197241,1.16000000e-05,1.20000000e-05,ok
syrk,64,float32,l3,syrk,500,9.40000000e-06,55.775319,9.20000000e-06,9.60000000e-06,ok
batched_matmul,64,float32,l3,gemm,250,1.03200000e-04,50.803101,1.03200000e-04,1.03600000e-04,ok
gemm_dot,64,float32,l3,gemm,20000,1.09750000e-05,47.771116,1.09600000e-05,1.09850000e-05,ok
matmul,64,float32,l3,gemm,20000,1.12025000e-05,46.800982,1.11950000e-05,1.12100000e-05,ok
tensordot,64,float32,l3,gemm,250,1.68000000e-05,31.207619,1.64000000e-05,1.72000000e-05,ok
multi_dot,64,float32,l3,gemm,20000,2.35875000e-05,44.454732,2.35650000e-05,2.36450000e-05,ok
matrix_power,64,float32,l3,gemm,20000,2.35200000e-05,44.582313,2.35100000e-05,2.35350000e-05,ok
gemm,128,float32,l3,gemm,250,7.66000000e-05,54.755927,7.60000000e-05,7.72000000e-05,ok
gemm_f,128,float32,l3,gemm,499,7.75551102e-05,54.081594,7.73547094e-05,7.77555110e-05,ok
syrk,128,float32,l3,syrk,20000,5.21325000e-05,80.454688,5.19750000e-05,5.22500000e-05,ok
batched_matmul,128,float32,l3,gemm,62,7.58064516e-04,55.329117,7.56451613e-04,7.59677419e-04,ok
gemm_dot,128,float32,l3,gemm,499,7.68537074e-05,54.575168,7.65531062e-05,7.69539078e-05,ok
matmul,128,float32,l3,gemm,20000,7.66250000e-05,54.738062,7.66150000e-05,7.66650000e-05,ok
tensordot,128,float32,l3,gemm,500,8.26000000e-05,50.778499,8.24000000e-05,8.28000000e-05,ok
multi_dot,128,float32,l3,gemm,250,1.55200000e-04,54.050309,1.54400000e-04,1.55600000e-04,ok
matrix_power,128,float32,l3,gemm,250,1.54400000e-04,54.330363,1.54000000e-04,1.54800000e-04,ok
gemm,256,float32,l3,gemm,83,5.80722892e-04,57.780453,5.79518072e-04,5.83132530e-04,ok
gemm_f,256,float32,l3,gemm,83,5.83132530e-04,57.541691,5.81927711e-04,5.84337349e-04,ok
syrk,256,float32,l3,syrk,99,3.75757576e-04,89.298085,3.74747475e-04,3.76767677e-04,ok
batched_matmul,256,float32,l3,gemm,8,5.80000000e-03,57.852469,5.80000000e-03,5.81250000e-03,ok
gemm_dot,256,float32,l3,gemm,83,5.81927711e-04,57.660825,5.80722892e-04,5.84337349e-04,ok
matmul,256,float32,l3,gemm,83,5.80722892e-04,57.780453,5.78313253e-04,5.83132530e-04,ok
tensordot,256,float32,l3,gemm,71,5.88732394e-04,56.994370,5.85915493e-04,5.90140845e-04,ok
multi_dot,256,float32,l3,gemm,38,1.16842105e-03,57.435514,1.16315789e-03,1.17368421e-03,ok
