op,n,dtype,group,blas,inner,median_s,gflops,min_s,max_s,status
dot,10000,float32,l1,dot,500,5.00000000e-06,4.000000,4.60000000e-06,5.40000000e-06,ok
vdot,10000,float32,l1,dotc,500,4.80000000e-06,4.166667,4.60000000e-06,5.40000000e-06,ok
inner,10000,float32,l1,dot,20000,4.69500000e-06,4.259851,4.69000000e-06,4.70500000e-06,ok
norm2,10000,float32,l1,nrm2,500,5.40000000e-06,3.703704,5.20000000e-06,5.60000000e-06,ok
vecdot,10000,float32,l1,dot,99,5.05050505e-06,3.960000,4.04040404e-06,6.06060606e-06,ok
vector_norm,10000,float32,l1,nrm2,83,1.02409639e-05,1.952941,9.63855422e-06,1.20481928e-05,ok
dot,100000,float32,l1,dot,250,3.80000000e-05,5.263158,3.80000000e-05,3.84000000e-05,ok
vdot,100000,float32,l1,dotc,500,3.80000000e-05,5.263158,3.78000000e-05,3.84000000e-05,ok
inner,100000,float32,l1,dot,500,3.82000000e-05,5.235602,3.80000000e-05,3.84000000e-05,ok
norm2,100000,float32,l1,nrm2,499,3.88777555e-05,5.144330,3.86773547e-05,3.92785571e-05,ok
vecdot,100000,float32,l1,dot,500,3.84000000e-05,5.208333,3.82000000e-05,3.86000000e-05,ok
vector_norm,100000,float32,l1,nrm2,500,6.31000000e-05,3.169572,6.28000000e-05,6.34000000e-05,ok
dot,1000000,float32,l1,dot,125,3.74400000e-04,5.341880,3.72800000e-04,3.75200000e-04,ok
vdot,1000000,float32,l1,dotc,166,3.74096386e-04,5.346216,3.73493976e-04,3.74096386e-04,ok
inner,1000000,float32,l1,dot,125,3.74400000e-04,5.341880,3.73600000e-04,3.74400000e-04,ok
norm2,1000000,float32,l1,nrm2,166,3.75602410e-04,5.324779,3.74698795e-04,3.76506024e-04,ok
vecdot,1000000,float32,l1,dot,125,3.75200000e-04,5.330490,3.74400000e-04,3.75200000e-04,ok
vector_norm,1000000,float32,l1,nrm2,71,6.01408451e-04,3.325527,6.00000000e-04,6.04225352e-04,ok
dot,10000,float64,l1,dot,500,4.60000000e-06,4.347826,4.40000000e-06,4.80000000e-06,ok
vdot,10000,float64,l1,dotc,20000,4.56500000e-06,4.381161,4.56500000e-06,4.57500000e-06,ok
inner,10000,float64,l1,dot,20000,4.74000000e-06,4.219409,4.73500000e-06,4.75000000e-06,ok
norm2,10000,float64,l1,nrm2,20000,5.30500000e-06,3.770028,5.29500000e-06,5.31000000e-06,ok
vecdot,10000,float64,l1,dot,500,4.80000000e-06,4.166667,4.80000000e-06,5.00000000e-06,ok
vector_norm,10000,float64,l1,nrm2,500,9.40000000e-06,2.127660,9.20000000e-06,9.60000000e-06,ok
dot,100000,float64,l1,dot,20000,3.81900000e-05,5.236973,3.81900000e-05,3.82050000e-05,ok
